steam_appid,website,support_url,support_email
10,,http://steamcommunity.com/app/10,
30,http://www.dayofdefeat.com/,,
50,,https://help.steampowered.com,
70,http://www.half-life.com/,http://steamcommunity.com/app/70,
80,,http://steamcommunity.com/app/80,
130,,https://help.steampowered.com,
220,http://www.half-life2.com,http://steamcommunity.com/app/220,
240,,http://steamcommunity.com/app/240,
300,http://www.dayofdefeat.com/,,
340,http://www.half-life2.com,,
380,http://ep1.half-life2.com/,,
400,http://www.whatistheorangebox.com/,http://steamcommunity.com/app/400,
420,http://www.whatistheorangebox.com/,,
440,http://www.teamfortress.com/,http://steamcommunity.com/app/440,
500,http://www.l4d.com/,http://steamcommunity.com/app/500,
550,http://www.l4d.com,http://steamcommunity.com/app/550,
570,http://www.dota2.com/,http://dev.dota2.com/,
620,http://www.thinkwithportals.com/,http://steamcommunity.com/app/620,
630,http://www.alienswarm.com,,
730,http://blog.counter-strike.net/,,
1002,http://www.ragdollkungfu.com/,,
1200,http://www.redorchestragame.com/,,
1250,http://www.killingfloorthegame.com,http://support.tripwireinteractive.com/,
1500,http://www.darwinia.co.uk/,,
1510,http://www.uplink.co.uk/,,
1520,http://www.everybody-dies.com/,http://support.introversion.co.uk/,
1530,http://www.introversion.co.uk/multiwinia/,,
1600,http://www.scs-dangerouswaters.com/,http://strategyfirst.com/products/support.html,
1630,http://www.disciples2.com/D2/elves/,,
1640,http://www.disciples2.com/D2/elves/,,
1690,,http://strategyfirst.com/products/support.html,
1700,http://www.arxfatalis-online.com/index_eng.php,,
1840,http://www.sourcefilmmaker.com/,,
1900,http://www.earth2160.com,http://www.earth2160.com,support@topware.com
1930,http://www.2-worlds.com/,http://www.2-worlds.com/confirm.php,support@topware.com
2100,http://www.darkmessiahmightandmagic.com,,
2210,http://www.idsoftware.com/games/quake/quake4/,,Tech04@bethsoft.com
2310,,http://support.bethsoft.com/,
2400,http://www.blazinggriffin.com/games/the-ship-murder-party/,http://www.blazinggriffin.com/,support@blazinggriffin.com
2500,http://www.shadowgroundsgame.com/,,
2520,http://www.gumboycrazyadventures.com/,,
2590,http://www.alpha-prime.com/,http://www.meridian4.com/support,support@bohemia.net
2600,http://www.vampirebloodlines.com,http://support.activision.com/,
2620,http://www.callofduty.com/,http://support.activision.com/,
2630,http://www.callofduty.com/,https://support.activision.com/,
2640,http://www.callofduty.com/,http://support.activision.com/,
2710,,,support@quanticlab.com
2720,http://www.Hyperbol.com,http://www.hyperbol.com,
2780,http://www.armedassault.com,,support@bohemia.net
2800,http://www.egosoft.com/games/x2/info_en.php,http://www.egosoft.com/support/faq/index_en.php,
2810,http://www.egosoft.com/games/x3/info_en.php,,
2820,http://www.egosoft.com/games/x3tc/info_en.php,,info@egosoft.com
2840,http://www.egosoft.com/games/x/info_en.php,,
2850,http://www.egosoft.com/games/x_tension/info_en.php,,
2870,http://www.egosoft.com/games/x_rebirth/info_en.php,http://www.egosoft.com/support/index_en.php,info@egosoft.com
2900,,http://strategyfirst.com/products/support.html,
2910,,http://strategyfirst.com/products/support.html,
3010,http://www.xpandrally.com,,
3020,http://callofjuarez.com/,,
3050,http://www.xpandrally.com/xrx/,,
3130,http://www.menofwargame.com,www.1cpublishing.eu,support@1cpublishing.eu
3170,http://www.kingsbountygame.com/,,support@1cpublishing.eu
3230,http://www.GenesisRisingGame.com,,
3260,,https://handy-games.com/contact/,support@handy-games.com
3270,http://www.painkilleroverdose.com,,support@quanticlab.com
3510,http://amazingadventuresgame.com/,,
3580,http://www.popcap.com/games/wizardspen,,
3590,,http://support.popcap.com/,
3700,,,support@rebellion.co.uk
3710,http://www.rebellion.co.uk/,,
3720,http://www.rebellion.co.uk/games/evil-genius,,
3730,http://www.rebellion.co.uk/,,support@rebellion.co.uk
3800,http://www.adventtrilogy.com/,http://www.majescoent.com/content/support,
3810,http://www.bloodrayne.com,http://www.majescoent.com/content/support,
3820,http://www.bloodrayne2.com/,http://www.majescoent.com/content/support,
3830,http://www.psychonauts.com/,http://www.doublefine.com/forums/viewthread/7090/,
3900,http://www.2kgames.com/civ4/home.htm,http://support.2kgames.com/,
3910,http://www.civ3.com/,http://support.2kgames.com/,
3920,http://www.2kgames.com/pirates/pirates/home.php,,
3960,http://www.2kgames.com/shatteredunion/,support.2k.com,
3980,http://www.2kgames.com/civcityrome/civcity.html,http://support.2k.com/forums/382570-CivCity-Rome,
3990,http://www.2kgames.com/civ4/warlords/warlords.html,,
4000,http://gmod.facepunch.com,http://support.facepunchstudios.com/,
4230,http://www.race-game.org/,,work@simbin.com
4290,http://www.race-game.org/,,
4300,http://www.roboblitz.com/,,
4500,http://www.stalker-game.com/,http://www.stalker-game.com/en/?page=support,support@gsc-game.com
4520,,,support@quanticlab.com
4530,,,support@quanticlab.com
4560,http://www.companyofheroesgame.com/,http://www.sega.com/support,
4570,http://www.dawnofwar.com,https://support.sega.co.uk,
4580,http://www.dawnofwar.com,https://support.sega.co.uk,
4700,http://www.totalwar.com,https://support.sega.co.uk,
4720,,https://support.sega.co.uk,
4760,http://www.totalwar.com/,https://support.sega.co.uk,
4770,http://www.totalwar.com,https://support.sega.co.uk,
4780,http://www.totalwar.com/,https://help.sega.com/,
4800,http://www.heroesofae.com/,,
4850,http://www.gsc-game.com/,,
4870,http://gsc-game.com/,,
4880,http://gsc-game.com/,,
4890,http://gsc-game.com/,,support@gsc-game.com
4900,https://unknownworlds.com/games/,,
4920,http://www.naturalselection2.com,http://unknownworlds.com/ns2/community/,
6000,http://www.lucasarts.com/,http://help.disney.com/en_US/Star-Wars/Steam,
6010,http://www.lucasarts.com/,https://help.disney.com/en_US/Games/steam,
6020,http://www.lucasarts.com,http://help.disney.com/en_US/Star-Wars/Steam,
6030,http://www.lucasarts.com,http://www.lucasarts.com/support/,
6040,http://www.lucasarts.com/,,
6060,http://www.swbattlefront2.com,http://help.starwars.com/,
6080,http://www.lucasarts.com/games/thrillvilleofftherails/,,
6090,http://www.lucasarts.com/,https://help.disney.com/en_US/Games/steam,
6120,http://www.shankgame.com,http://forums.kleientertainment.com/forum.php,support@kleientertainment.com
6200,,http://strategyfirst.com/products/support.html,
6210,http://drstudios.co.uk/games/vegas-make-it-big/,,
6250,http://www.making-history.com/,,
6270,http://www.artematica.com/index.php?lang=en&sezione=gamesdetails&idGame=3,,
6300,http://www.dreamfall.com/,,
6310,http://www.longestjourney.com,,
6370,http://www.bloodlinechampions.com,http://bloodlinechampions.com/support/,support@stunlockstudios.com
6400,http://www.jointtaskforce.com/,,
6420,,,support@quanticlab.com
6510,http://www.lostplanet-thegame.com,,
6550,http://www.devilmaycry.com/dmc3/main.html,,
6840,http://www.commandosgame.com/,,
6850,http://www.hitman.com,http://steamcommunity.com/app/6850/discussions/,
6860,http://www.hitman.com/,http://steamcommunity.com/app/6860/discussions/,
6870,http://www.battlestations.net/,,
6880,http://www.eidosinteractive.co.uk/gss/justcause/,https://support.eu.square-enix.com/contact.php?id=2149&amp;la=2,
6900,http://www.hitman.com,http://steamcommunity.com/app/6900/discussions/,
6910,,http://sqex.to/steamsupport,
6920,http://www.eidos.co.uk/gss/dxiw/,,
6980,http://www.eidos.co.uk/gss/thief_ds/,http://support.eu.square-enix.com/main.php?la=2&amp;id=2182,
7000,http://www.tombraider.com/legend/,,
7010,http://www.projectsnowblind.com/,,
7020,http://www.rebellion.co.uk/games/rogue-trooper,,support@rebellion.co.uk
7110,http://www.bioware.com/en/games/#previous-games,,
7200,http://www.tm-united.com/,https://support.ubi.com/en-US/,
7210,http://www.runaway-thegame.com/,,
7220,http://www.runaway-thegame.com/,,
7340,http://www.bigfishgames.com/download-games/1689/azada/index.html,,
7510,http://www.x-blades.com/,http://www.topware.com/us/x-blades.html,support@topware.com
7520,http://www.twoworlds2.com,http://www.topware.com,support@topware.com
7530,http://www.twoworlds2.com/cd/about-en.html,http://www.twoworlds2.com/cd/,support@topware.com
7600,http://www.2kgames.com/railroads/railroads.html,,
7610,,http://support.2k.com/home,
7660,,http://support.2k.com/hc/en-us/requests/new,
7760,,http://support.2k.com/home,
7830,http://www.menofwargame.com,http://www.1cpublishing.eu/support,support@1cpublishing.eu
7840,http://www.1cpublishing.eu/game/death-track-resurrection,http://www.1cpublishing.eu/support,support@1cpublishing.eu
